episode,return
1.000000000000000000e+00,-3.369022306130315503e+00
2.000000000000000000e+00,-3.256724929761339205e+00
3.000000000000000000e+00,-2.977463180382426078e+00
4.000000000000000000e+00,-3.229373627918414424e+00
5.000000000000000000e+00,-4.352803558557719832e+00
6.000000000000000000e+00,-3.239575951606848747e+00
7.000000000000000000e+00,-3.163490185939716426e+00
8.000000000000000000e+00,-1.748953879136412315e+00
9.000000000000000000e+00,-2.194738417951395348e+00
1.000000000000000000e+01,-2.786056412983150210e+00
1.100000000000000000e+01,-2.584447429184044243e+00
1.200000000000000000e+01,-4.373779710849605706e+00
1.300000000000000000e+01,-3.957856500122762355e+00
1.400000000000000000e+01,-2.769678892121212321e-01
1.500000000000000000e+01,-1.883925076035938284e+00
1.600000000000000000e+01,-7.744733794285463269e-01
1.700000000000000000e+01,-2.830933376231787868e+00
1.800000000000000000e+01,-2.087707421430957666e+00
1.900000000000000000e+01,-3.755679742977083624e+00
2.000000000000000000e+01,-2.488766600635841542e+00
2.100000000000000000e+01,-2.047860999910974034e+00
2.200000000000000000e+01,-3.395358087491194610e+00
2.300000000000000000e+01,-2.780190624322746107e+00
2.400000000000000000e+01,-2.695745103460077008e+00
2.500000000000000000e+01,-4.842412267491043032e-01
2.600000000000000000e+01,-4.205548231004336834e+00
2.700000000000000000e+01,-2.981856514187346985e+00
2.800000000000000000e+01,-2.423198552790264859e+00
2.900000000000000000e+01,-2.333362571333641000e+00
3.000000000000000000e+01,-9.836212384197988712e-01
3.100000000000000000e+01,-4.085410348758157006e+00
3.200000000000000000e+01,-1.313643173896662075e+00
3.300000000000000000e+01,-2.118847017412389455e+00
3.400000000000000000e+01,-2.361846710656927861e+00
3.500000000000000000e+01,-2.621086541842416295e+00
3.600000000000000000e+01,-3.046462258911401211e+00
3.700000000000000000e+01,2.666918653774843051e+00
3.800000000000000000e+01,4.978090265660168434e+00
3.900000000000000000e+01,4.422582419736764692e+00
4.000000000000000000e+01,4.328944355452238213e+00
4.100000000000000000e+01,4.363010270029269222e+00
4.200000000000000000e+01,4.183348415375019336e+00
4.300000000000000000e+01,4.244205954640538181e+00
4.400000000000000000e+01,3.963671008403264029e+00
4.500000000000000000e+01,4.262171562799901281e+00
4.600000000000000000e+01,6.006796357518879859e+00
4.700000000000000000e+01,6.495972527897575510e+00
4.800000000000000000e+01,8.187306274694256203e+00
4.900000000000000000e+01,6.643349036215361103e+00
5.000000000000000000e+01,5.116098785111432790e+00
5.100000000000000000e+01,3.854012334882705115e+00
5.200000000000000000e+01,6.009066268940534528e+00
5.300000000000000000e+01,5.571224320177181610e+00
5.400000000000000000e+01,5.785771753430166697e+00
5.500000000000000000e+01,7.017815834998711644e+00
5.600000000000000000e+01,1.673093154277727423e+00
5.700000000000000000e+01,4.279270885264827129e+00
5.800000000000000000e+01,5.287534137049746619e+00
5.900000000000000000e+01,4.934829716487125317e+00
6.000000000000000000e+01,4.256239354144840448e+00
6.100000000000000000e+01,6.712224778392294589e+00
6.200000000000000000e+01,-2.599964653646418267e-01
6.300000000000000000e+01,4.142052708222639268e+00
6.400000000000000000e+01,4.393334590882004953e+00
6.500000000000000000e+01,4.371735470208706786e+00
6.600000000000000000e+01,5.615171242929344331e+00
6.700000000000000000e+01,9.409536712240011980e-01
6.800000000000000000e+01,4.379284452431237540e+00
6.900000000000000000e+01,5.453788983785950784e+00
7.000000000000000000e+01,3.934598185724078601e+00
7.100000000000000000e+01,-1.465944829886065559e-01
7.200000000000000000e+01,3.899086856047679461e+00
7.300000000000000000e+01,4.305059385305266773e+00
7.400000000000000000e+01,4.083185943916348926e+00
7.500000000000000000e+01,-1.280308955079070277e-01
7.600000000000000000e+01,3.790031909237820074e+00
7.700000000000000000e+01,4.521976115789042794e+00
7.800000000000000000e+01,4.815830274266201805e+00
7.900000000000000000e+01,6.567663318795057492e+00
8.000000000000000000e+01,5.287345582871131988e+00
8.100000000000000000e+01,3.674057698436319797e+00
8.200000000000000000e+01,4.466719413978803566e-02
8.300000000000000000e+01,1.068591073411392145e+01
8.400000000000000000e+01,-5.418799823479658606e-01
8.500000000000000000e+01,4.607255482898010790e+00
8.600000000000000000e+01,5.178449976606369631e+00
8.700000000000000000e+01,4.894045412111604598e+00
8.800000000000000000e+01,3.796577113683485827e+00
8.900000000000000000e+01,4.486660806740346175e+00
9.000000000000000000e+01,4.873146430384040606e+00
9.100000000000000000e+01,5.687308917027019461e+00
9.200000000000000000e+01,4.103316212367166926e+00
9.300000000000000000e+01,5.786430076098536546e+00
9.400000000000000000e+01,1.371654948042352373e+01
9.500000000000000000e+01,6.818700695989392102e+00
9.600000000000000000e+01,5.595894768067871006e+00
9.700000000000000000e+01,1.103972283629021511e+01
9.800000000000000000e+01,5.021142029895012016e+00
9.900000000000000000e+01,2.307561993372113207e+00
1.000000000000000000e+02,1.129175624380953025e+01
1.010000000000000000e+02,1.248098719503547649e+01
1.020000000000000000e+02,4.641043085401818757e+00
1.030000000000000000e+02,4.442999195415120894e+00
1.040000000000000000e+02,3.725301332456945502e+00
1.050000000000000000e+02,4.064669711408139818e+00
1.060000000000000000e+02,3.246360776474298770e+00
1.070000000000000000e+02,1.421494913838649232e+01
1.080000000000000000e+02,7.268340198950464348e+00
1.090000000000000000e+02,1.946658302435324828e+01
1.100000000000000000e+02,2.489896013537159902e+01
1.110000000000000000e+02,6.843586178782964602e+00
1.120000000000000000e+02,6.147471212488595960e+00
1.130000000000000000e+02,2.017660412267833880e+00
1.140000000000000000e+02,8.781307501552970685e-02
1.150000000000000000e+02,1.883850382543490554e+01
1.160000000000000000e+02,2.759567749275644744e+00
1.170000000000000000e+02,2.230224630260211427e+01
1.180000000000000000e+02,1.684078436967412173e+01
1.190000000000000000e+02,1.698640884217939373e+01
1.200000000000000000e+02,4.583235410941747467e+00
1.210000000000000000e+02,1.696572521003816547e+01
1.220000000000000000e+02,1.931060441448882514e+01
1.230000000000000000e+02,2.076768551564188314e+01
1.240000000000000000e+02,1.907421395287069998e+01
1.250000000000000000e+02,1.986680219048302476e+01
1.260000000000000000e+02,2.040040468750734348e+01
1.270000000000000000e+02,1.983856237927643562e+01
1.280000000000000000e+02,1.456763531522729949e+01
1.290000000000000000e+02,9.804625307123352229e+00
1.300000000000000000e+02,7.122814636245000663e-02
1.310000000000000000e+02,1.867475887155518421e+01
1.320000000000000000e+02,1.949919004910529452e+01
1.330000000000000000e+02,2.007710038211035908e+01
1.340000000000000000e+02,2.148767104991748411e+01
1.350000000000000000e+02,2.017147383778781133e+01
1.360000000000000000e+02,2.016091410394851735e+01
1.370000000000000000e+02,1.918802621117101381e+01
1.380000000000000000e+02,2.181038696745561012e+01
1.390000000000000000e+02,1.961303219208616966e+01
1.400000000000000000e+02,1.924432276022727351e+01
1.410000000000000000e+02,1.896705802729443846e+01
1.420000000000000000e+02,1.859526774171705910e+01
1.430000000000000000e+02,1.893588187642741616e+01
1.440000000000000000e+02,6.709983356403856902e+00
1.450000000000000000e+02,1.501440226767951458e+01
1.460000000000000000e+02,1.706991643268973391e+01
1.470000000000000000e+02,1.998527576394969074e+01
1.480000000000000000e+02,1.991825432596677814e+01
1.490000000000000000e+02,8.335980689927332321e+00
1.500000000000000000e+02,1.736037723534639454e+01
1.510000000000000000e+02,1.963502597395410731e+01
1.520000000000000000e+02,1.895687564232844835e+01
1.530000000000000000e+02,1.643221737269179528e+01
1.540000000000000000e+02,7.641001799641093051e+00
1.550000000000000000e+02,1.796783175055837845e+01
1.560000000000000000e+02,1.663874756372372232e+01
1.570000000000000000e+02,1.803142209665767126e+01
1.580000000000000000e+02,1.778489243563281974e+01
1.590000000000000000e+02,1.792907607479973819e+01
1.600000000000000000e+02,1.879254643046790463e+01
1.610000000000000000e+02,1.387831933396544315e+01
1.620000000000000000e+02,1.807017622498563725e+01
1.630000000000000000e+02,1.795825079913421618e+01
1.640000000000000000e+02,1.802037281039267214e+01
1.650000000000000000e+02,1.884096248219713488e+01
1.660000000000000000e+02,2.043803140075315383e+01
1.670000000000000000e+02,1.596002228571728132e+01
1.680000000000000000e+02,1.814384140414113133e+01
1.690000000000000000e+02,1.774222700707634104e+01
1.700000000000000000e+02,1.763365564889630477e+01
1.710000000000000000e+02,1.759086422062983246e+01
1.720000000000000000e+02,1.803175321233761252e+01
1.730000000000000000e+02,1.769317167331093898e+01
1.740000000000000000e+02,1.895256859521606785e+01
1.750000000000000000e+02,1.912241543089196227e+01
1.760000000000000000e+02,1.818845415070760652e+01
1.770000000000000000e+02,1.877898605895225614e+01
1.780000000000000000e+02,1.864143019587708494e+01
1.790000000000000000e+02,1.216595027578777710e+01
1.800000000000000000e+02,1.639071906720106142e+01
1.810000000000000000e+02,2.080349318648424983e+01
1.820000000000000000e+02,2.088706156790041391e+01
1.830000000000000000e+02,1.845545176864159487e+01
1.840000000000000000e+02,1.754153102136536546e+01
1.850000000000000000e+02,1.901234969670015218e+01
1.860000000000000000e+02,1.793167343332146757e+01
1.870000000000000000e+02,1.773403375741920485e+01
1.880000000000000000e+02,1.787536537797839742e+01
1.890000000000000000e+02,1.885003462637171978e+01
1.900000000000000000e+02,1.856350239046329520e+01
1.910000000000000000e+02,2.126291215846550742e+01
1.920000000000000000e+02,2.326361933734416354e+01
1.930000000000000000e+02,1.830351183923053071e+01
1.940000000000000000e+02,1.810171414861259009e+01
1.950000000000000000e+02,1.977133009954415144e+01
1.960000000000000000e+02,1.976165857629069933e+01
1.970000000000000000e+02,1.974728034749688987e+01
1.980000000000000000e+02,1.891593829589114151e+01
1.990000000000000000e+02,1.829709961118794226e+01
2.000000000000000000e+02,2.142656758539201434e+01
2.010000000000000000e+02,1.856230579063871744e+01
2.020000000000000000e+02,1.856494639179513229e+01
2.030000000000000000e+02,1.949136450511402074e+01
2.040000000000000000e+02,1.792506813372984453e+01
2.050000000000000000e+02,2.150404045880156900e+01
2.060000000000000000e+02,2.045499071427963145e+01
2.070000000000000000e+02,2.229651433921809556e+01
2.080000000000000000e+02,2.194757437593204941e+01
2.090000000000000000e+02,2.183429161832689047e+01
2.100000000000000000e+02,1.831421911767471045e+01
2.110000000000000000e+02,1.842498493024154982e+01
2.120000000000000000e+02,2.038051498184037058e+01
2.130000000000000000e+02,2.243039314927042938e+01
2.140000000000000000e+02,1.957924030897683565e+01
2.150000000000000000e+02,2.192071121837757275e+01
2.160000000000000000e+02,2.240535541351515292e+01
2.170000000000000000e+02,1.920075272430227642e+01
2.180000000000000000e+02,2.196383007918388230e+01
2.190000000000000000e+02,1.938537701461286389e+01
2.200000000000000000e+02,1.868223798389553281e+01
2.210000000000000000e+02,2.195576712537262765e+01
2.220000000000000000e+02,2.348028230562648844e+01
2.230000000000000000e+02,2.148171317834012584e+01
2.240000000000000000e+02,1.958871057057143972e+01
2.250000000000000000e+02,1.747313270286262821e+01
2.260000000000000000e+02,1.953193560068840995e+01
2.270000000000000000e+02,1.882455346663376616e+01
2.280000000000000000e+02,1.958973902746334517e+01
2.290000000000000000e+02,1.934949480494116258e+01
2.300000000000000000e+02,1.914301183473963519e+01
2.310000000000000000e+02,1.832548995097583600e+01
2.320000000000000000e+02,1.871263467595590768e+01
2.330000000000000000e+02,1.895843538485875612e+01
2.340000000000000000e+02,1.936329247570197154e+01
2.350000000000000000e+02,1.913449618757652715e+01
2.360000000000000000e+02,1.920873884020746658e+01
2.370000000000000000e+02,1.929165957215207783e+01
2.380000000000000000e+02,1.885382155382934144e+01
2.390000000000000000e+02,1.885354615388556354e+01
2.400000000000000000e+02,1.925446034082290936e+01
2.410000000000000000e+02,2.040252080386055411e+01
2.420000000000000000e+02,1.986068893548383940e+01
2.430000000000000000e+02,2.009096110273792490e+01
2.440000000000000000e+02,2.014279855275449549e+01
2.450000000000000000e+02,1.898904639211508893e+01
2.460000000000000000e+02,1.526468723611355571e+01
2.470000000000000000e+02,1.938071985825550314e+01
2.480000000000000000e+02,1.957715012744035121e+01
2.490000000000000000e+02,2.066808638898440620e+01
2.500000000000000000e+02,2.039899713994908836e+01
2.510000000000000000e+02,2.024695623587385285e+01
2.520000000000000000e+02,2.044786342178529281e+01
2.530000000000000000e+02,1.954094779063584042e+01
2.540000000000000000e+02,2.023430500271987142e+01
2.550000000000000000e+02,1.930154385838280717e+01
2.560000000000000000e+02,2.032769244350279081e+01
2.570000000000000000e+02,2.046771485956202952e+01
2.580000000000000000e+02,1.949297413049119854e+01
2.590000000000000000e+02,1.999347139326027190e+01
2.600000000000000000e+02,2.000576857320729118e+01
