episode,return
1.000000000000000000e+00,2.937759786438858267e+00
2.000000000000000000e+00,5.418774089093524537e+00
3.000000000000000000e+00,8.463608449818604385e+00
4.000000000000000000e+00,2.767778102741505375e+00
5.000000000000000000e+00,3.059685829698006287e+00
6.000000000000000000e+00,3.970609053813955125e+00
7.000000000000000000e+00,2.218397217467278804e+00
8.000000000000000000e+00,4.730889812030508068e+00
9.000000000000000000e+00,4.075277822893118795e+00
1.000000000000000000e+01,3.059191683539763229e+00
1.100000000000000000e+01,3.512293216288802533e+00
1.200000000000000000e+01,2.846323638929026068e+00
1.300000000000000000e+01,1.677022329603769402e+00
1.400000000000000000e+01,3.255675525733360942e+00
1.500000000000000000e+01,2.515438536059431573e+00
1.600000000000000000e+01,3.737151731295767831e+00
1.700000000000000000e+01,3.093868614043269627e+00
1.800000000000000000e+01,3.309482637340463995e+00
1.900000000000000000e+01,2.945836878066178777e+00
2.000000000000000000e+01,8.355362920371502966e+00
2.100000000000000000e+01,2.937912663412487912e+00
2.200000000000000000e+01,4.015923808226193437e+00
2.300000000000000000e+01,3.634320324774795719e+00
2.400000000000000000e+01,4.544417864619227032e+00
2.500000000000000000e+01,1.711968120079696831e+01
2.600000000000000000e+01,3.657021648869842156e+00
2.700000000000000000e+01,3.765350499881152224e+00
2.800000000000000000e+01,4.506529167467582475e+00
2.900000000000000000e+01,1.953015722347475558e+00
3.000000000000000000e+01,6.724413990972803568e+00
3.100000000000000000e+01,1.191482027428565615e+01
3.200000000000000000e+01,6.615709136044686467e+00
3.300000000000000000e+01,2.740196544743247031e+00
3.400000000000000000e+01,3.253451218475725604e+00
3.500000000000000000e+01,2.814718594526044448e+00
3.600000000000000000e+01,1.747760183772853582e+00
3.700000000000000000e+01,3.158270957605775031e+00
3.800000000000000000e+01,4.879182230841713874e+00
3.900000000000000000e+01,1.693167407478490460e+01
4.000000000000000000e+01,3.113272871498025118e+00
4.100000000000000000e+01,1.233421315461622214e+01
4.200000000000000000e+01,5.756375700820697716e+00
4.300000000000000000e+01,3.211234376128235368e+00
4.400000000000000000e+01,2.384952708144317590e+00
4.500000000000000000e+01,3.230558001241487176e+00
4.600000000000000000e+01,4.113436882898176883e+00
4.700000000000000000e+01,2.720655227060017722e+00
4.800000000000000000e+01,3.923919887277821594e+00
4.900000000000000000e+01,2.722078682060612653e+00
5.000000000000000000e+01,2.356461243491128510e+00
5.100000000000000000e+01,2.414450214077416224e+00
5.200000000000000000e+01,2.444431595573439253e+00
5.300000000000000000e+01,6.248904033386810219e+00
5.400000000000000000e+01,3.167050100662254675e+00
5.500000000000000000e+01,6.206372595126692815e+00
5.600000000000000000e+01,4.521139881940558602e+00
5.700000000000000000e+01,3.618789587652626594e+00
5.800000000000000000e+01,2.453697952649579683e+00
5.900000000000000000e+01,2.859497989195903145e+00
6.000000000000000000e+01,4.493082960182857022e+00
6.100000000000000000e+01,4.670728529849460742e+00
6.200000000000000000e+01,2.964257419736767041e+00
6.300000000000000000e+01,7.933103651255840383e+00
6.400000000000000000e+01,5.625217311620101412e+00
6.500000000000000000e+01,4.457239433582388166e+00
6.600000000000000000e+01,4.472728475353683564e+00
6.700000000000000000e+01,3.781806223034551806e+01
6.800000000000000000e+01,2.947882982312701294e+00
6.900000000000000000e+01,2.752164075349738948e+00
7.000000000000000000e+01,2.956309342033562437e+00
7.100000000000000000e+01,3.455169377557977928e+00
7.200000000000000000e+01,2.166142523074984894e+00
7.300000000000000000e+01,2.898840319672779220e+00
7.400000000000000000e+01,3.055911416458428675e+00
7.500000000000000000e+01,6.288860712815909082e+00
7.600000000000000000e+01,4.754158736894355641e+00
7.700000000000000000e+01,3.795772359307767463e+00
7.800000000000000000e+01,2.413173964899900437e+00
7.900000000000000000e+01,2.616903468161084323e+00
8.000000000000000000e+01,2.959582072907815498e+00
8.100000000000000000e+01,4.500160510801865854e+00
8.200000000000000000e+01,3.864538106150295693e+00
8.300000000000000000e+01,3.538579188547329224e+00
8.400000000000000000e+01,4.329058560026610714e+00
8.500000000000000000e+01,3.786244670528555734e+00
8.600000000000000000e+01,2.973701753016694482e+00
8.700000000000000000e+01,4.370315215386231245e+00
8.800000000000000000e+01,3.616958261192873447e+00
8.900000000000000000e+01,3.205221736703466551e+00
9.000000000000000000e+01,3.785269460029520250e+00
9.100000000000000000e+01,4.281410736979137255e+01
9.200000000000000000e+01,7.768008105240451933e+00
9.300000000000000000e+01,1.055074690361884748e+01
9.400000000000000000e+01,4.782502308310490946e+00
9.500000000000000000e+01,8.354098321279609607e+00
9.600000000000000000e+01,3.915837707183320049e+01
9.700000000000000000e+01,2.750094494004139190e+00
9.800000000000000000e+01,4.758459031680026818e+00
9.900000000000000000e+01,3.570541285731054337e+00
1.000000000000000000e+02,7.047013066345100718e+00
1.010000000000000000e+02,6.610009312985330787e+00
1.020000000000000000e+02,3.333845217263323946e+01
1.030000000000000000e+02,6.041479104440740322e+00
1.040000000000000000e+02,9.535250789445740338e+00
1.050000000000000000e+02,4.675976971375519931e+00
1.060000000000000000e+02,4.335107564236717614e+00
1.070000000000000000e+02,2.367551598205796282e+01
1.080000000000000000e+02,2.335150011903402145e+01
1.090000000000000000e+02,3.100070472198917848e+00
1.100000000000000000e+02,4.923316920161365573e+00
1.110000000000000000e+02,6.932691127212937232e+00
1.120000000000000000e+02,6.128617548147376581e+00
