episode,return
1.000000000000000000e+00,2.937759786438858267e+00
2.000000000000000000e+00,5.568205068389117329e+00
3.000000000000000000e+00,3.957662810346651572e+00
4.000000000000000000e+00,4.593665132431683951e+00
5.000000000000000000e+00,3.063772056764864082e+00
6.000000000000000000e+00,2.802511078859022398e+00
7.000000000000000000e+00,2.517377114554558926e+00
8.000000000000000000e+00,3.226454424091597772e+00
9.000000000000000000e+00,3.440652109467513320e+00
1.000000000000000000e+01,3.974965880054726064e+00
1.100000000000000000e+01,3.356917341913205455e+00
1.200000000000000000e+01,1.877569584434169103e+00
1.300000000000000000e+01,2.986252675960178848e+00
1.400000000000000000e+01,3.060827884344290872e+00
1.500000000000000000e+01,3.023180688917546988e+00
1.600000000000000000e+01,3.272812599469776984e+00
1.700000000000000000e+01,5.834944507000375147e+00
1.800000000000000000e+01,3.055178848279763937e+00
1.900000000000000000e+01,4.643985490756286083e+00
2.000000000000000000e+01,4.561000190303715840e+00
2.100000000000000000e+01,2.897539283107417596e+00
2.200000000000000000e+01,3.165252357191768340e+00
2.300000000000000000e+01,3.572626361118263372e+00
2.400000000000000000e+01,4.387548250778601044e+01
2.500000000000000000e+01,4.688848874959497870e+00
2.600000000000000000e+01,2.372640455826009909e+00
2.700000000000000000e+01,4.315016679848989511e+00
2.800000000000000000e+01,3.070998208837294907e+00
2.900000000000000000e+01,2.636593650507274234e+00
3.000000000000000000e+01,3.123078119569542732e+00
3.100000000000000000e+01,4.456498108466456998e+00
3.200000000000000000e+01,3.790934405943063634e+00
3.300000000000000000e+01,3.713853962094457284e+00
3.400000000000000000e+01,1.127697629927625655e+01
3.500000000000000000e+01,2.311168605207293503e+00
3.600000000000000000e+01,2.350695143559017986e+00
3.700000000000000000e+01,3.100315934127067852e+00
3.800000000000000000e+01,3.260025972521883197e+00
3.900000000000000000e+01,2.803323862871573091e+00
4.000000000000000000e+01,3.993085324977712958e+01
4.100000000000000000e+01,3.975033617105114381e+00
4.200000000000000000e+01,4.762967780993133005e+00
4.300000000000000000e+01,3.730701644642215431e+00
4.400000000000000000e+01,4.696526693075222525e+00
4.500000000000000000e+01,2.375255007174454480e+00
4.600000000000000000e+01,2.360181442429619914e+00
4.700000000000000000e+01,5.446897986201286734e+00
4.800000000000000000e+01,3.607307266579168115e+00
4.900000000000000000e+01,3.447439768383251835e+00
5.000000000000000000e+01,2.137901389509649697e+00
5.100000000000000000e+01,1.123958367218158827e+01
5.200000000000000000e+01,6.351455092269443270e+00
5.300000000000000000e+01,1.480878370494949436e+01
5.400000000000000000e+01,4.031804462200422279e+01
5.500000000000000000e+01,5.796603263427553721e+00
5.600000000000000000e+01,4.044014715494565593e+00
5.700000000000000000e+01,4.652298625756209560e+00
5.800000000000000000e+01,9.522754880868305349e+00
5.900000000000000000e+01,4.418016768703462560e+01
6.000000000000000000e+01,3.600974452791198388e+01
6.100000000000000000e+01,6.410858613309398102e+00
6.200000000000000000e+01,7.803352942869211439e+00
6.300000000000000000e+01,7.270932452031004800e+00
6.400000000000000000e+01,5.410194129226749915e+00
6.500000000000000000e+01,4.610374754603073200e+01
6.600000000000000000e+01,1.043814884441558277e+01
6.700000000000000000e+01,1.036447756327631353e+01
6.800000000000000000e+01,7.479933523992778888e+00
6.900000000000000000e+01,9.109390034113188150e+00
7.000000000000000000e+01,8.583698295957180591e+00
7.100000000000000000e+01,1.070969887722721836e+01
7.200000000000000000e+01,7.499332640550310458e+00
7.300000000000000000e+01,4.589976043594506727e+00
7.400000000000000000e+01,4.596171242576100724e+01
7.500000000000000000e+01,8.410871800056737513e+00
7.600000000000000000e+01,6.705181750777494010e+00
7.700000000000000000e+01,6.568832686399836085e+00
